Produto,2018_11,2018_12,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9,2019_10,2019_11,2019_12,2020_1,2020_2,2020_3,Total
NIG PEIXE BR PÇ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
NIG PEIXE BR UN,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
NIG SALMAO GRELHADO PC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NIG SALMAO GRELHADO UN,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
NIG SALMAO PÇ,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,13.0
NIG SALMAO SELADO PÇ,0.0,3.0,3.0,0.0,5.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,5.0,0.0,3.0,2.0,0.0,27.0
NIG SALMAO SELADO UN,2.0,4.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
NIG SALMAO UN,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
NIG SKIN UN,0.0,0.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0
NIG. SKIN PÇ,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0
NIKU SHOGAYAKI,8.0,31.0,6.0,4.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
NIRIG P BRAN REP,0.0,7.0,10.0,4.0,0.0,7.0,6.0,1.0,5.0,4.0,0.0,1.0,0.0,8.0,0.0,3.0,6.0,62.0
NIRIG SALM REP,0.0,10.0,19.0,13.0,0.0,21.0,6.0,20.0,13.0,33.0,10.0,11.0,27.0,14.0,15.0,1.0,2.0,215.0
NIRIG SKIN REP,0.0,12.0,4.0,0.0,0.0,6.0,12.0,22.0,13.0,6.0,3.0,3.0,1.0,8.0,2.0,0.0,0.0,92.0
OHAYO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,9.0
OS QUERIDINHOS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0
OSAKA 62PÇS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
P. SHIMEJI C/ ABAXACI,1.0,6.0,9.0,12.0,6.0,4.0,9.0,3.0,1.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,62.0
PB YAKIMESHI,0.0,0.0,25.0,22.0,13.0,11.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
PEIXE URBANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
PESSEGO,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
PETRA,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,18.0
PÇ SKIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB ABOBRINHA OU BERINJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
ROB CAMARÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
ROB FILÉ MIGNON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROB SALMAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
ROB YAKITORI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,5.0
ROD. SEM REP,0.0,0.0,0.0,0.0,0.0,1.0,7.0,62.0,17.0,0.0,8.0,52.0,1.0,2.0,5.0,5.0,3.0,163.0
RODIZIO 69,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,55.0,29.0,53.0,45.0,15.0,20.0,0.0,10.0,22.0,264.0
RODIZIO 75,100.0,167.0,169.0,176.0,78.0,88.0,175.0,118.0,78.0,127.0,70.0,100.0,170.0,146.0,166.0,159.0,77.0,2164.0
RODIZIO CRIANCA,7.0,3.0,3.0,10.0,2.0,8.0,5.0,6.0,13.0,8.0,3.0,5.0,1.0,5.0,6.0,7.0,1.0,93.0
RODÍZIO PREMIUM,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,13.0,29.0,13.0,71.0
SAKE DOURADO DOSE,1.0,7.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,3.0,2.0,4.0,2.0,4.0,1.0,41.0
SAKE DOURADO GARRAFA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,13.0
SAKE SOFT DOSE,0.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,1.0,1.0,0.0,6.0,1.0,0.0,2.0,1.0,3.0,27.0
SAKERITA DE FRUTAS,2.0,14.0,15.0,11.0,5.0,8.0,6.0,19.0,6.0,5.0,14.0,8.0,10.0,9.0,11.0,8.0,7.0,158.0
SALADA DE CEVICHE EXECUTIVO,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
SALM CR GERG PÇ SASHIMI,0.0,4.0,11.0,8.0,7.0,8.0,6.0,18.0,5.0,8.0,15.0,11.0,10.0,12.0,18.0,6.0,6.0,153.0
SALM MOLHO DE OSTRAS SASHIMI,5.0,41.0,25.0,16.0,8.0,4.0,4.0,12.0,10.0,14.0,16.0,17.0,2.0,0.0,0.0,0.0,0.0,174.0
SALM TAMARINDO SASHIMI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,3.0,6.0,5.0,2.0,26.0
SALMAO CRISPY URAMAKI,0.0,4.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,4.0,3.0,29.0
SALMAO SASHIMI PÇ,4.0,10.0,10.0,17.0,7.0,8.0,7.0,12.0,12.0,6.0,6.0,5.0,2.0,8.0,5.0,5.0,1.0,125.0
SASH. ATUM REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SASHI P BRAN REP,0.0,44.0,41.0,57.0,30.0,20.0,87.0,86.0,80.0,106.0,42.0,69.0,81.0,53.0,24.0,56.0,58.0,934.0
SASHI SALMA REP,0.0,90.0,127.0,178.0,94.0,71.0,243.0,163.0,177.0,217.0,287.0,206.0,203.0,237.0,228.0,187.0,160.0,2868.0
SASHIMI ATUM PÇ,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0
SASHIMI ATUM UN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SASHIMI C GERG UN,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SASHIMI P BRANCO PC,0.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0,29.0
SASHIMI P BRANCO UN,0.0,6.0,6.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,30.0
SASHIMI POLVO PÇ,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,9.0
SASHIMI POLVO UN,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SASHIMI SALMAO UN,0.0,10.0,6.0,3.0,7.0,0.0,2.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,39.0
SCHWEPPES,2.0,19.0,12.0,10.0,4.0,12.0,15.0,16.0,20.0,7.0,11.0,6.0,5.0,12.0,8.0,6.0,2.0,167.0
SEM ARROZ,1.0,2.0,27.0,13.0,1.0,3.0,8.0,3.0,1.0,4.0,4.0,5.0,2.0,1.0,1.0,9.0,0.0,85.0
SHAKE MAKI HOSSOMAKI,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,15.0
SHIMEJI PORÇÃO,1.0,6.0,3.0,3.0,4.0,4.0,4.0,6.0,3.0,6.0,4.0,4.0,6.0,4.0,11.0,13.0,4.0,86.0
SHIMEJI REP,0.0,56.0,98.0,75.0,58.0,74.0,114.0,93.0,90.0,82.0,61.0,83.0,130.0,122.0,128.0,138.0,72.0,1474.0
SHOYU LAMEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKIN URAMAKI,1.0,25.0,25.0,19.0,12.0,7.0,21.0,10.0,8.0,7.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,141.0
SMIRNOFF ICE,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,11.0
SUCO ACEROLA,0.0,4.0,2.0,8.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,28.0
SUCO CAJU,0.0,2.0,5.0,1.0,5.0,6.0,0.0,5.0,0.0,3.0,5.0,4.0,1.0,3.0,1.0,0.0,1.0,42.0
SUCO DE ABACAXI,0.0,0.0,1.0,5.0,2.0,3.0,1.0,6.0,4.0,0.0,8.0,1.0,1.0,2.0,2.0,0.0,0.0,36.0
SUCO DE MORANGO,0.0,0.0,1.0,10.0,9.0,12.0,15.0,15.0,12.0,11.0,8.0,5.0,1.0,1.0,5.0,10.0,5.0,120.0
SUCO DETOX,0.0,20.0,14.0,6.0,9.0,8.0,8.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,84.0
SUCO IMPORTADO,7.0,19.0,26.0,13.0,4.0,10.0,12.0,2.0,11.0,7.0,11.0,3.0,3.0,3.0,3.0,2.0,2.0,138.0
SUCO KIWI,0.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,17.0
SUCO LIMAO,0.0,4.0,14.0,8.0,5.0,4.0,0.0,0.0,8.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,55.0
SUCO MANGA,0.0,1.0,0.0,4.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,0.0,1.0,2.0,0.0,1.0,1.0,28.0
SUCO MARACUJÁ,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,5.0,4.0,3.0,5.0,15.0,7.0,4.0,6.0,2.0,59.0
SUCO UVA INTEGRAL,13.0,9.0,11.0,1.0,1.0,6.0,6.0,1.0,0.0,2.0,7.0,0.0,2.0,3.0,0.0,2.0,0.0,64.0
SUCOS SABORES,15.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
SUNOMO REP,1.0,9.0,3.0,4.0,3.0,4.0,10.0,9.0,9.0,7.0,13.0,3.0,17.0,16.0,14.0,9.0,8.0,139.0
SUNOMONO,0.0,11.0,10.0,6.0,6.0,6.0,6.0,11.0,1.0,7.0,2.0,6.0,6.0,1.0,9.0,5.0,4.0,97.0
SUSH CALI REP,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,3.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,28.0
SUSH HARU HOT REP,0.0,39.0,18.0,57.0,49.0,89.0,195.0,84.0,120.0,217.0,138.0,186.0,179.0,100.0,124.0,98.0,74.0,1767.0
SUSH HOT FILA REP,0.0,34.0,37.0,42.0,20.0,21.0,88.0,73.0,133.0,221.0,194.0,109.0,125.0,90.0,89.0,95.0,76.0,1447.0
SUSH PTCRISP REP,0.0,0.0,0.0,11.0,6.0,4.0,15.0,4.0,20.0,32.0,37.0,36.0,48.0,44.0,32.0,39.0,16.0,344.0
SUSH SALMAO REP,0.0,7.0,0.0,2.0,1.0,8.0,28.0,6.0,2.0,17.0,9.0,11.0,8.0,6.0,2.0,5.0,0.0,112.0
SUSH SKIN REP,1.0,6.0,5.0,26.0,2.0,11.0,31.0,25.0,40.0,33.0,50.0,46.0,3.0,0.0,7.0,0.0,0.0,286.0
SUSHI BANANA,1.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
SUSHI DE PEPINO,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
T. FILADELFIA REP,0.0,10.0,5.0,7.0,5.0,8.0,2.0,9.0,20.0,14.0,13.0,8.0,24.0,15.0,26.0,18.0,15.0,199.0
T. HOT FILAD REP,0.0,7.0,8.0,8.0,8.0,6.0,15.0,13.0,18.0,8.0,15.0,16.0,20.0,7.0,4.0,16.0,7.0,176.0
T. SALM SKIN REP,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,8.0,5.0,31.0
T. SAMARAO HOT REP,0.0,2.0,4.0,6.0,1.0,9.0,13.0,7.0,6.0,3.0,10.0,3.0,2.0,2.0,3.0,4.0,0.0,75.0
T. SAMARAO REP,0.0,15.0,8.0,9.0,9.0,5.0,18.0,2.0,6.0,59.0,17.0,7.0,5.0,4.0,1.0,7.0,1.0,173.0
TARTAR DE SALMÃO PÇ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0
TATAKI,4.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
TATAKI FRUTO DO MAR PÇ,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,12.0
TATAKI PÇ,3.0,9.0,14.0,11.0,1.0,4.0,5.0,5.0,5.0,6.0,7.0,7.0,4.0,2.0,5.0,10.0,3.0,101.0
TATAKI REP,1.0,37.0,21.0,11.0,19.0,14.0,39.0,12.0,38.0,28.0,20.0,33.0,28.0,34.0,39.0,27.0,24.0,425.0
TEKAMAKI HOSSOM,0.0,12.0,3.0,3.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0
TEMA ATUM,2.0,4.0,4.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0
TEMA CALIFORNIA,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,7.0
TEMA CAMARAO,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
TEMA CAMARÃO TEMPURA,0.0,3.0,3.0,3.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0
TEMA FILADÉLFIA,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,17.0
TEMA HOT FILADÉLFIA,0.0,1.0,33.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,2.0,5.0,2.0,55.0
TEMA HOT SALMARAO,0.0,1.0,4.0,4.0,1.0,5.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,33.0
TEMA PEIXE BRANCO,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
TEMA POLVO,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0
TEMA SALM GREL SHIMEJI,5.0,17.0,14.0,10.0,7.0,3.0,5.0,5.0,8.0,1.0,1.0,0.0,2.0,0.0,3.0,5.0,4.0,90.0
TEMA SALMAO,3.0,4.0,13.0,5.0,3.0,5.0,2.0,1.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,62.0
TEMA SALMAO CREAM CHEESE,4.0,35.0,40.0,33.0,12.0,8.0,23.0,7.0,16.0,7.0,5.0,5.0,1.0,6.0,2.0,2.0,0.0,206.0
TEMA SALMAO GRELHADO,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,18.0
TEMA SALMARÃO,0.0,10.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,5.0,2.0,2.0,3.0,1.0,36.0
TEMA SKIN,0.0,5.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,25.0
TEMAKI S/ ARROZ,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,18.0
TEMPUR LEGUM REP,0.0,3.0,3.0,8.0,4.0,5.0,0.0,11.0,7.0,13.0,7.0,6.0,6.0,0.0,4.0,0.0,0.0,77.0
TEMPURA BRIGADEI REP,0.0,17.0,38.0,53.0,12.0,22.0,57.0,36.0,50.0,67.0,55.0,24.0,90.0,110.0,161.0,160.0,97.0,1049.0
TEMPURA BRIGADEIRO,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,0.0,25.0
TEMPURA DE LEGUMES PÇ,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
TEMPURA LEG E CAMA PÇ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TEMPURA SÓ CAMARAO PÇ,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,23.0
TEMPURÁ BRIGADEIRO,0.0,0.0,34.0,74.0,60.0,49.0,97.0,52.0,80.0,173.0,123.0,81.0,30.0,0.0,0.0,0.0,0.0,853.0
TEPPAN FRUTOS DO MAR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0
TEPPAN SHIMEJI,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0
TEPPAN YAKI P BRANCO,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,13.0
TEPPAN YAKI SALMAO,0.0,5.0,3.0,4.0,3.0,2.0,1.0,1.0,3.0,0.0,3.0,10.0,3.0,2.0,1.0,3.0,2.0,46.0
TILAP EMP REP,1.0,2.0,2.0,6.0,9.0,2.0,32.0,22.0,21.0,26.0,12.0,17.0,20.0,42.0,30.0,5.0,1.0,250.0
TILAPIA EMPANADA PÇ,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0
TRI TEMAKIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
YAKIMESHI C/PEIXE BRANCO,10.0,57.0,19.0,21.0,7.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,132.0
YAKIMESHI DE CAMARÃO,5.0,34.0,8.0,13.0,11.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.0
YAKISS CARNE REP,0.0,3.0,8.0,9.0,8.0,9.0,24.0,6.0,16.0,13.0,12.0,15.0,7.0,7.0,8.0,5.0,4.0,154.0
YAKISS FRANG REP,0.0,2.0,5.0,1.0,3.0,3.0,10.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,2.0,39.0
YAKISS MISTO REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,8.0,2.0,16.0,7.0,12.0,11.0,14.0,93.0
YAKISSOBA CAMARAO,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,13.0
YAKISSOBA CARNE,0.0,6.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,5.0,4.0,43.0
YAKISSOBA FRANGO,0.0,5.0,3.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,0.0,1.0,35.0
YAKISSOBA LEGUMES,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0
YAKISSOBA MISTO,0.0,6.0,4.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,0.0,2.0,2.0,1.0,42.0
YAKISSOBA SALMAO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
¹/² SUSHI A ESCOLHA EXECUTIVO,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
