Produto,2018_11,2018_12,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9,2019_10,2019_11,2019_12,2020_1,2020_2,2020_3,Total
CASA VALDUGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
CASQUINHA DE SIRI 2UNID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.0,12.0
CAVA JAUME SERRA SEMI SECO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEVICHE EXECUTIVO,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
CEVICHE PÇ,6.0,19.0,16.0,15.0,2.0,5.0,8.0,5.0,13.0,8.0,8.0,4.0,10.0,10.0,13.0,10.0,4.0,156.0
CEVICHE REP,2.0,38.0,15.0,10.0,8.0,9.0,42.0,16.0,31.0,33.0,29.0,40.0,46.0,27.0,43.0,41.0,37.0,467.0
CHA PRETO LIMAO/PESSEGO,0.0,0.0,6.0,4.0,7.0,2.0,4.0,2.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,38.0
COCA COLA,41.0,71.0,44.0,57.0,33.0,43.0,69.0,44.0,56.0,54.0,42.0,53.0,52.0,52.0,48.0,54.0,33.0,846.0
COCA COLA ZERO,0.0,18.0,11.0,24.0,5.0,8.0,20.0,6.0,15.0,15.0,2.0,9.0,13.0,4.0,8.0,15.0,7.0,180.0
COMB BLACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,15.0,13.0,5.0,42.0
COMB BONSAI,1.0,5.0,10.0,2.0,2.0,6.0,4.0,2.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,42.0
COMB CHEF 02,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
COMB CHEF 03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
COMB DO CHEF 01,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
COMB ESPECIAL 01,1.0,5.0,4.0,16.0,11.0,4.0,4.0,10.0,4.0,3.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,72.0
COMB ESPECIAL 02,0.0,10.0,5.0,3.0,2.0,0.0,3.0,6.0,1.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,43.0
COMB HIROSHIMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0
COMB IND 20PC,4.0,11.0,6.0,2.0,2.0,8.0,10.0,5.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,58.0
COMB KIOTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,12.0,2.0,3.0,35.0
COMB KOBE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,1.0,14.0
COMB NAGOYA 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,1.0,2.0,16.0
COMB NARA 38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,3.0,11.0
COMB NIKKO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,5.0,19.0
COMB SHIBUYA HOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,9.0
COMB SIMPLES 01,1.0,17.0,8.0,9.0,5.0,6.0,9.0,7.0,1.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,81.0
COMB SIMPLES 02,1.0,11.0,15.0,15.0,7.0,6.0,12.0,9.0,9.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,97.0
COMB TÓQUIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0
CONCHA SHIMEJI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
CONDES DE BARCELOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COZUMEL,0.0,5.0,6.0,6.0,2.0,3.0,10.0,12.0,3.0,4.0,3.0,3.0,5.0,1.0,4.0,3.0,4.0,74.0
CREAM CHEESE,2.0,8.0,2.0,5.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,26.0
CROQU SALM REP,0.0,23.0,7.0,10.0,5.0,3.0,25.0,5.0,14.0,24.0,15.0,11.0,30.0,16.0,24.0,31.0,13.0,256.0
CROQUETE SALMAO,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0
DON LUCIANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUPLA SASHIMI NIGUIRI SHUSHI,1.0,9.0,10.0,5.0,6.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,59.0
E,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0
EA ROSÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBI FURAI URAMAKI,1.0,8.0,12.0,5.0,6.0,5.0,14.0,11.0,5.0,9.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,92.0
EBI HOT -HOSSOM,1.0,10.0,7.0,5.0,3.0,0.0,8.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,11.0,2.0,62.0
EDAMAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBALAGEM,0.0,26.0,55.0,38.0,28.0,18.0,26.0,26.0,29.0,13.0,30.0,33.0,30.0,17.0,42.0,25.0,32.0,468.0
FILADELFIA URAMAKI,1.0,5.0,6.0,2.0,5.0,0.0,2.0,2.0,1.0,0.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,44.0
FRANGO,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
FRANGO YAKIMESHI,0.0,0.0,39.0,50.0,21.0,22.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,155.0
GRAN TARAPACÁ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
GUARANA ANTARTICA,0.0,24.0,19.0,11.0,9.0,8.0,14.0,19.0,15.0,19.0,22.0,19.0,10.0,19.0,15.0,15.0,12.0,250.0
GUARANA ZERO,0.0,3.0,7.0,6.0,2.0,4.0,7.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,44.0
GUIOZA EXECUTIVO,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
GUIOZA LOMBO PÇ,2.0,2.0,8.0,2.0,1.0,3.0,3.0,6.0,7.0,3.0,2.0,5.0,6.0,10.0,2.0,6.0,3.0,71.0
GUIOZA SALM REP,0.0,6.0,19.0,28.0,9.0,49.0,59.0,20.0,21.0,22.0,26.0,17.0,39.0,38.0,50.0,26.0,15.0,444.0
GUIOZA SALMAO PÇ,0.0,6.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,23.0
GUNK CRE SHIMEJI UN,0.0,5.0,0.0,2.0,0.0,2.0,6.0,6.0,0.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,34.0
GUNK CRE/MAÇ CAMAR PÇ,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,10.0
GUNK CREA CHEE REP,1.0,44.0,118.0,91.0,23.0,68.0,88.0,77.0,170.0,198.0,78.0,97.0,52.0,46.0,74.0,66.0,60.0,1351.0
GUNK CREAM CAMARAO UN,0.0,2.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,21.0
